DATE & TIME,FREQUENCY(Hz),VOLTAGE R-N(V),VOLTAGE Y-N(V),VOLTAGE B-N(V),VOLTAGE R-Y(V),VOLTAGE Y-B(V),VOLTAGE B-R(V),CURRENT R,CURRENT Y,CURRENT B,AVG_CURRENT,POWER KW,ENERGY KWH,PF,THD VOLTAGE,THD CURRENT R,THD CURRENT Y,THD CURRENT B,TOTAL IMPORT KWH,TOTAL EXPORT ENERGY
3/14/2022 0:13,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:13,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:14,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:14,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:14,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:15,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:15,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:15,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:16,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:16,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:16,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:17,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:17,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:17,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:18,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:18,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:18,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:19,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:19,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:19,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:20,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:20,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:20,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:21,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:21,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:21,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:22,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:22,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:22,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:23,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:23,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:23,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:24,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:24,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:24,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:25,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:25,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:25,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:26,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:26,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:26,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:27,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:27,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:27,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:28,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:28,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:28,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:29,50,241.3400726,240.783434,241.401001,416.769104,417,419.5592041,8.966347694,5.966347694,3.732095718,6.221597035,0,3127.977783,1,0,0,0,0,3127.977783,0
3/14/2022 0:29,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
3/14/2022 0:29,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
3/14/2022 0:30,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
3/14/2022 0:30,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
3/14/2022 0:30,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
3/14/2022 0:31,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
3/14/2022 0:31,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
3/14/2022 0:31,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
3/14/2022 0:32,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
3/14/2022 0:32,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
3/14/2022 0:32,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
3/14/2022 0:33,50,241.6725464,240.783434,241.7492065,417.2505188,417,420.1737671,9.006496429,5.966347694,4.002946854,6.325263659,0,3132.765137,1,0,0,0,0,3132.765137,0
